spin_r,spin_b,spin_g,gcd,area_stability,type
1.0,0.0,1.0,1.0,0.2737394791549838,integer
2.0,0.0,2.0,2.0,0.20412071043853214,integer
3.0,0.0,3.0,3.0,0.14437841760688663,integer
4.0,0.0,4.0,4.0,0.10698027366326074,integer
5.0,0.0,5.0,5.0,0.0001486330925585954,integer
1.0,1.0,2.0,1.0,0.4610786122582805,integer
2.0,1.0,3.0,1.0,0.6424583382176867,integer
3.0,2.0,5.0,1.0,0.8074025233419331,integer
4.0,3.0,7.0,1.0,0.5549648361141375,integer
0.5,0.0,1.0,0.5,0.27618218946687634,half-integer
1.5,0.0,1.0,0.5,0.49147280707855007,half-integer
2.5,0.0,1.0,0.5,0.4899403553672453,half-integer
0.5,0.5,1.0,0.5,0.22793348944844818,half-integer
0.5,1.0,1.5,0.5,0.9566305019421538,half-integer
1.5,0.5,2.0,0.5,0.8250644834784768,half-integer
0.5,1.0,2.0,0.5,0.4589313562437893,half-integer
1.5,2.0,3.0,0.5,0.5224152810920004,half-integer
2.5,3.0,4.0,0.5,0.5504595042170168,half-integer
