k0,lambda,sigma,t_max,prob,Sx,Sy,Sz,spin_init
100,1,0.5,50,0.0006372888477551049,0.1784542958044244,-0.22587297012891075,0.9051479653060606,up
100,1,1.0,50,0.0004690740408541632,0.1969315962481607,-0.29133650443061954,0.8639530806106063,up
100,1,2.0,50,0.0003627472005192545,0.09814498421012459,-0.30832591345665494,0.896695960781214,up
100,2,0.5,50,0.0006391669972801637,0.5754989577580847,0.0705304929330554,0.10621428047447057,up
100,2,1.0,50,0.0005720742927960226,0.7640498384165505,0.08824918941377169,-0.2975971210494701,up
100,2,2.0,50,0.00039089130167577847,0.5727019515296293,0.466820955399638,-0.2054647514340079,up
100,3,0.5,50,0.0019981775582224746,0.12497021878430732,0.2373409508500306,0.8738381466859971,up
100,3,1.0,50,0.001570163708186406,-0.1178213715647491,0.1563774625976701,0.843021299649364,up
100,3,2.0,50,0.0013272956104649763,-0.48783242379801134,-0.028427172909167037,0.5952285065410629,up
100,4,0.5,50,0.002558698772687019,-0.07199777723266086,0.1108490744691131,0.6039777765464153,up
100,4,1.0,50,0.0028846146431077925,0.05619777119866133,0.4000148568426151,0.7702274581090828,up
100,4,2.0,50,0.0022752616597356548,0.06325770898411125,0.7143874204120697,0.670316980692709,up
100,5,0.5,50,0.0011087908194822376,-0.6081764496683488,-0.016777508547964087,-0.16114802934088893,up
100,5,1.0,50,0.0009919257885275669,-0.6979014629032487,0.12032746109163439,-0.44731124063447786,up
100,5,2.0,50,0.0012555521831341602,-0.18262405224834813,0.4899047054164235,-0.40712753726916234,up
100,7,0.5,50,0.004701805916700277,0.4276642986262696,-0.06561044119557989,0.5796040353198639,up
100,7,1.0,50,0.0037624167836064343,0.06140366749732657,0.305203676992644,0.43166251458637106,up
100,7,2.0,50,0.003182511264067317,-0.4308681347396181,0.7156382861426128,0.37593214493120714,up
100,10,0.5,50,0.0035505727397437607,-0.1076816894844903,0.3133687312521203,-0.037151396042384315,up
100,10,1.0,50,0.0021393464502087642,-0.24742194407458654,0.07753097495604419,-0.4385937586270267,up
100,10,2.0,50,0.0015528715996127808,0.1653507277564618,0.27852628924652645,-0.77430197553816,up
100,15,0.5,50,0.002842971982167577,-0.18460967907988987,-0.26855937941111596,0.04719809000913004,up
100,15,1.0,50,0.0025212461836313298,0.04994048034574086,-0.3990952845914337,-0.1425063691458142,up
100,15,2.0,50,0.002964777432335944,0.1865943614032117,-0.6048329700290325,-0.15568956930573938,up
100,20,0.5,50,0.006423920691190611,-0.31983958908028737,0.25922001040710246,-0.3956869395975806,up
100,20,1.0,50,0.006262402960557153,-0.34914353015788246,0.07885450138250398,-0.3525913808100195,up
100,20,2.0,50,0.005134685430263007,-0.22518067925345794,0.04887491064614006,-0.09510880603644892,up
100,30,0.5,50,0.009909226169042364,-0.37979857505539616,-0.35650459055767536,-0.1565414832831878,up
100,30,1.0,50,0.008820144759359234,-0.2806989991075079,-0.4694229544110467,-0.16173737421237355,up
100,30,2.0,50,0.006028081985589899,-0.045620759394957744,-0.5259377309703149,0.011986888900588528,up
100,3,0.5,50,0.0003351778486765165,-0.09360878259440136,-0.1751524065248535,-0.1939014158425186,down
